crop_file,nom_char,unicode,syllable,matched,tier,bbox,page,source
crops/page_0012/col01_char000.png,二,U+4E8C,Nhị,True,1,"[1498, 271, 1602, 371]",page_0012,CacThanhTruyen2
crops/page_0012/col01_char001.png,月,U+6708,nguyệt,True,1,"[1498, 371, 1602, 472]",page_0012,CacThanhTruyen2
crops/page_0012/col01_char002.png,二,U+4E8C,nhị,True,1,"[1498, 472, 1602, 572]",page_0012,CacThanhTruyen2
crops/page_0012/col01_char003.png,丕,U+4E15,thập,True,3,"[1498, 572, 1602, 673]",page_0012,CacThanhTruyen2
crops/page_0012/col01_char004.png,八,U+516B,bát,True,1,"[1498, 673, 1602, 773]",page_0012,CacThanhTruyen2
crops/page_0012/col01_char005.png,日,U+65E5,nhật,True,1,"[1498, 773, 1602, 874]",page_0012,CacThanhTruyen2
crops/page_0012/col02_char000.png,初,U+521D,SƠ,True,3,"[1334, 103, 1451, 232]",page_0012,CacThanhTruyen2
crops/page_0012/col02_char001.png,𧘇,U+27607,NHẤT,True,3,"[1334, 232, 1451, 361]",page_0012,CacThanhTruyen2
crops/page_0012/col02_char002.png,月,U+6708,NHẬT,True,1,"[1334, 361, 1451, 490]",page_0012,CacThanhTruyen2
crops/page_0012/col02_char003.png,蓊,U+84CA,Ông,True,3,"[1334, 490, 1451, 620]",page_0012,CacThanhTruyen2
crops/page_0012/col02_char004.png,𢫙,U+22AD9,Thánh,True,3,"[1334, 620, 1451, 749]",page_0012,CacThanhTruyen2
crops/page_0012/col02_char005.png,那,U+90A3,na,True,1,"[1334, 749, 1451, 878]",page_0012,CacThanhTruyen2
crops/page_0012/col02_char006.png,樞,U+6A1E,xu,True,1,"[1334, 878, 1451, 1008]",page_0012,CacThanhTruyen2
crops/page_0012/col02_char007.png,曰,U+66F0,viết,True,1,"[1334, 1008, 1451, 1137]",page_0012,CacThanhTruyen2
crops/page_0012/col02_char008.png,模,U+6A21,vồ,True,3,"[1334, 1137, 1451, 1266]",page_0012,CacThanhTruyen2
crops/page_0012/col02_char009.png,死,U+6B7B,tử,True,1,"[1334, 1266, 1451, 1396]",page_0012,CacThanhTruyen2
crops/page_0012/col02_char010.png,爲,U+7232,vì,True,1,"[1334, 1396, 1451, 1525]",page_0012,CacThanhTruyen2
crops/page_0012/col02_char011.png,道,U+9053,đạo,True,1,"[1334, 1525, 1451, 1654]",page_0012,CacThanhTruyen2
crops/page_0012/col02_char012.png,傳,U+50B3,truyện,True,1,"[1334, 1654, 1451, 1784]",page_0012,CacThanhTruyen2
crops/page_0012/col03_char000.png,翁,U+7FC1,Ông,True,1,"[1119, 101, 1263, 215]",page_0012,CacThanhTruyen2
crops/page_0012/col03_char001.png,𣈖,U+23216,Thánh,True,3,"[1119, 215, 1263, 329]",page_0012,CacThanhTruyen2
crops/page_0012/col03_char002.png,𠼱,U+20F31,này,True,3,"[1119, 329, 1263, 443]",page_0012,CacThanhTruyen2
crops/page_0012/col03_char003.png,𬗢,U+2C5E2,là,True,3,"[1119, 443, 1263, 557]",page_0012,CacThanhTruyen2
crops/page_0012/col03_char004.png,𠫅,U+20AC5,đầy,True,3,"[1119, 557, 1263, 672]",page_0012,CacThanhTruyen2
crops/page_0012/col03_char005.png,四,U+56DB,tớ,True,1,"[1119, 672, 1263, 786]",page_0012,CacThanhTruyen2
crops/page_0012/col03_char006.png,翁,U+7FC1,ông,True,1,"[1119, 786, 1263, 900]",page_0012,CacThanhTruyen2
crops/page_0012/col03_char007.png,垩,U+57A9,Thánh,True,1,"[1119, 900, 1263, 1014]",page_0012,CacThanhTruyen2
crops/page_0012/col03_char008.png,稿,U+7A3F,Giu,True,2,"[1119, 1014, 1263, 1129]",page_0012,CacThanhTruyen2
crops/page_0012/col03_char009.png,𥗍,U+255CD,ong,True,3,"[1119, 1129, 1263, 1243]",page_0012,CacThanhTruyen2
crops/page_0012/col03_char010.png,𬗢,U+2C5E2,là,True,3,"[1119, 1243, 1263, 1357]",page_0012,CacThanhTruyen2
crops/page_0012/col03_char011.png,苔,U+82D4,đầy,True,1,"[1119, 1357, 1263, 1471]",page_0012,CacThanhTruyen2
crops/page_0012/col03_char012.png,四,U+56DB,tớ,True,1,"[1119, 1471, 1263, 1585]",page_0012,CacThanhTruyen2
crops/page_0012/col03_char013.png,奇,U+5947,cả,True,1,"[1119, 1585, 1263, 1700]",page_0012,CacThanhTruyen2
crops/page_0012/col03_char014.png,徳,U+5FB3,Đức,True,1,"[1119, 1700, 1263, 1814]",page_0012,CacThanhTruyen2
crops/page_0012/col03_char015.png,主,U+4E3B,Chúa,True,1,"[1119, 1814, 1263, 1928]",page_0012,CacThanhTruyen2
crops/page_0012/col03_char016.png,支,U+652F,Giê,True,1,"[1119, 1928, 1263, 2042]",page_0012,CacThanhTruyen2
crops/page_0012/col03_char017.png,秋,U+79CB,su,True,1,"[1119, 2042, 1263, 2157]",page_0012,CacThanhTruyen2
crops/page_0012/col03_char018.png,弯,U+5F2F,cùng,True,3,"[1119, 2157, 1263, 2271]",page_0012,CacThanhTruyen2
crops/page_0012/col03_char019.png,体,U+4F53,thấy,True,1,"[1119, 2271, 1263, 2385]",page_0012,CacThanhTruyen2
crops/page_0012/col03_char020.png,鰐,U+9C10,Rất,True,3,"[1119, 2385, 1263, 2499]",page_0012,CacThanhTruyen2
crops/page_0012/col03_char021.png,喒,U+5592,Thánh,True,3,"[1119, 2499, 1263, 2614]",page_0012,CacThanhTruyen2
crops/page_0012/col04_char000.png,徳,U+5FB3,Đức,True,1,"[940, 97, 1078, 211]",page_0012,CacThanhTruyen2
crops/page_0012/col04_char001.png,婆,U+5A46,Bà,True,1,"[940, 211, 1078, 326]",page_0012,CacThanhTruyen2
crops/page_0012/col04_char002.png,𥡗,U+25857,Ma,True,3,"[940, 326, 1078, 441]",page_0012,CacThanhTruyen2
crops/page_0012/col04_char003.png,拡,U+62E1,ri,True,3,"[940, 441, 1078, 556]",page_0012,CacThanhTruyen2
crops/page_0012/col04_char004.png,亞,U+4E9E,a,True,1,"[940, 556, 1078, 671]",page_0012,CacThanhTruyen2
crops/page_0012/col04_char005.png,羣,U+7FA3,còn,True,1,"[940, 671, 1078, 785]",page_0012,CacThanhTruyen2
crops/page_0012/col04_char006.png,於,U+65BC,ở,True,1,"[940, 785, 1078, 900]",page_0012,CacThanhTruyen2
crops/page_0012/col04_char007.png,世,U+4E16,thế,True,1,"[940, 900, 1078, 1015]",page_0012,CacThanhTruyen2
crops/page_0012/col04_char008.png,間,U+9593,gian,True,1,"[940, 1015, 1078, 1130]",page_0012,CacThanhTruyen2
crops/page_0012/col04_char009.png,朱,U+6731,cho,True,1,"[940, 1130, 1078, 1245]",page_0012,CacThanhTruyen2
crops/page_0012/col04_char010.png,年,U+5E74,nên,True,1,"[940, 1245, 1078, 1360]",page_0012,CacThanhTruyen2
crops/page_0012/col04_char011.png,㝵,U+3775,người,True,1,"[940, 1360, 1078, 1474]",page_0012,CacThanhTruyen2
crops/page_0012/col04_char012.png,啢,U+5562,làm,True,3,"[940, 1474, 1078, 1589]",page_0012,CacThanhTruyen2
crops/page_0012/col04_char013.png,垩,U+57A9,Thánh,True,1,"[940, 1589, 1078, 1704]",page_0012,CacThanhTruyen2
crops/page_0012/col04_char014.png,奇,U+5947,cả,True,1,"[940, 1704, 1078, 1819]",page_0012,CacThanhTruyen2
crops/page_0012/col04_char015.png,喡,U+55A1,và,True,2,"[940, 1819, 1078, 1934]",page_0012,CacThanhTruyen2
crops/page_0012/col04_char016.png,𣩂,U+23A42,làm,True,3,"[940, 1934, 1078, 2048]",page_0012,CacThanhTruyen2
crops/page_0012/col04_char017.png,曰,U+66F0,viết,True,1,"[940, 2048, 1078, 2163]",page_0012,CacThanhTruyen2
crops/page_0012/col04_char018.png,釪,U+91EA,vồ,True,3,"[940, 2163, 1078, 2278]",page_0012,CacThanhTruyen2
crops/page_0012/col04_char019.png,城,U+57CE,thành,True,1,"[940, 2278, 1078, 2393]",page_0012,CacThanhTruyen2
crops/page_0012/col04_char020.png,安,U+5B89,An,True,1,"[940, 2393, 1078, 2508]",page_0012,CacThanhTruyen2
crops/page_0012/col04_char021.png,𤰞,U+24C1E,ti,True,1,"[940, 2508, 1078, 2623]",page_0012,CacThanhTruyen2
crops/page_0012/col05_char000.png,𦶀,U+26D80,ô,True,3,"[757, 99, 880, 218]",page_0012,CacThanhTruyen2
crops/page_0012/col05_char001.png,箕,U+7B95,ki,True,1,"[757, 218, 880, 337]",page_0012,CacThanhTruyen2
